i,j
125,125
125,124
125,126
125,127
125,128
126,127
126,126
126,125
126,128
125,129
126,124
124,128
123,128
125,123
127,126
127,125
124,126
127,128
122,128
127,124
122,129
125,130
123,129
127,127
128,127
122,130
126,129
127,129
128,129
126,123
124,130
124,123
124,131
128,130
128,125
127,123
129,130
125,131
122,127
127,130
129,125
125,122
129,131
130,130
125,132
123,123
122,131
127,122
122,132
125,121
128,122
127,121
131,130
121,127
131,131
124,125
130,129
125,133
123,122
131,129
128,121
128,124
121,126
125,134
129,121
125,135
127,120
120,127
129,126
124,132
128,120
119,127
121,128
129,120
124,135
124,136
129,122
121,131
129,123
123,136
124,122
123,135
120,131
118,127
129,119
123,124
126,134
119,126
121,132
123,134
118,126
122,135
119,131
124,121
121,133
118,125
129,118
123,137
122,123
126,133
122,124
130,131
122,136
126,120
118,131
130,122
122,137
128,118
118,124
132,131
133,131
120,133
127,118
130,119
130,118
121,135
121,137
133,130
130,117
121,136
134,131
134,130
117,131
126,135
132,130
117,126
117,130
130,116
131,122
131,117
119,133
131,119
132,122
128,117
135,131
130,115
135,132
124,137
136,131
130,132
132,117
116,130
117,125
133,117
124,138
131,116
120,134
135,133
115,130
119,134
127,117
125,138
126,118
132,123
116,131
136,132
116,125
133,116
115,129
133,123
137,131
125,139
130,128
137,132
127,116
134,116
134,132
124,139
130,114
121,138
129,114
117,124
114,130
124,140
120,137
126,136
135,134
126,116
129,113
120,138
126,139
134,115
127,139
118,134
126,140
126,141
123,140
125,116
127,140
129,112
117,132
119,124
122,140
114,129
122,141
114,131
135,135
124,120
126,115
124,141
113,131
130,133
124,116
123,116
114,132
131,133
128,113
135,116
129,111
126,114
115,125
135,136
116,124
129,110
137,130
125,114
129,109
138,132
114,128
113,128
128,109
125,118
126,142
136,116
132,129
125,113
121,141
127,142
112,128
133,129
134,123
135,115
129,108
136,117
134,135
128,108
122,122
126,113
115,124
128,142
114,133
138,130
125,140
137,117
121,142
127,109
134,133
139,132
114,124
114,125
121,143
140,132
135,137
136,130
118,123
130,108
130,109
114,134
128,141
126,109
130,113
113,124
134,114
137,116
136,115
112,129
139,130
135,123
128,112
130,110
123,121
138,116
127,108
139,133
134,113
139,134
129,107
119,137
121,144
129,106
130,107
134,134
131,134
138,117
120,139
124,114
122,142
114,135
137,115
140,133
125,109
134,112
128,107
124,109
112,130
120,124
111,128
128,143
120,140
128,139
113,123
