inicial_x,inicial_y,passos
188,232,17063
229,56,1750
227,196,10035
210,34,28086
65,234,23162
36,39,36749
72,237,10300
215,211,9050
10,173,15767
61,19,11142
232,61,32160
180,13,45732
236,181,30813
50,26,7488
237,71,10015
216,210,23519
27,201,22567
48,28,12436
224,50,7561
217,41,32751
3,149,20305
222,47,17040
40,216,8994
241,171,12611
111,249,2434
51,25,22679
241,79,13080
17,63,11928
27,49,20262
191,19,5798
46,29,5520
249,125,3988
200,26,19132
235,183,13835
12,74,6395
43,219,4449
71,237,20458
46,29,15092
210,215,11741
223,49,11171
212,36,6444
203,222,7752
199,25,3526
46,221,6578
81,241,11223
22,55,10140
140,249,13290
238,74,11120
246,153,12675
61,231,24961
15,183,34026
131,1,3524
216,210,6913
22,56,7439
247,150,4574
177,238,7555
200,224,11324
222,203,29987
234,186,9503
199,25,11829
198,226,39227
227,54,9323
173,240,8071
240,171,13526
176,238,5293
77,240,13413
75,11,13136
231,190,25616
7,87,7868
203,222,37408
12,177,17745
27,49,13341
4,153,3959
239,75,13796
103,247,13932
198,25,6979
49,224,29672
57,21,14896
54,23,13574
38,214,27015
238,72,11621
44,31,16738
57,21,23787
28,203,25524
234,184,17073
200,26,6884
49,223,15711
121,1,6440
8,82,5414
98,246,8674
226,52,15922
209,217,22139
195,22,6569
223,48,11657
208,33,7667
214,38,9635
33,42,8321
53,24,5782
235,183,15489
27,202,7314
245,94,5190
5,157,31328
23,53,53524
37,38,11800
198,24,9852
48,27,28932
20,192,12974
183,15,5317
216,210,7461
219,44,6760
17,64,4116
246,154,10598
6,162,9572
210,216,6602
11,75,44012
31,206,11767
28,47,4970
248,104,16233
35,211,12825
206,30,13050
7,164,7135
215,210,5154
222,203,21371
157,5,13835
237,179,13482
34,41,11464
11,174,11914
52,226,17890
56,229,9302
162,6,4060
35,210,21181
33,42,11139
39,35,8196
243,164,5712
246,96,6168
177,238,7267
86,7,10796
202,27,10106
234,64,19864
53,226,12889
83,8,4551
168,242,4644
7,164,14142
191,20,13830
75,239,11170
227,54,15786
72,13,17356
222,47,15029
39,36,21175
245,94,10420
202,27,5627
232,189,6397
67,15,18519
63,233,6859
24,52,13798
1,140,5743
99,247,8625
178,237,19087
203,28,5294
46,29,5665
188,18,17726
200,224,9223
43,218,13100
21,193,6807
222,48,14255
7,85,2650
69,236,31653
52,25,6080
86,7,11195
167,8,4438
17,63,8475
180,237,4888
232,62,13756
217,41,12515
51,225,8968
248,109,12233
249,127,16489
2,146,3655
186,233,7683
7,164,4029
195,228,13028
34,40,9105
151,3,17998
183,15,3920
207,32,10192
98,4,10563
2,106,16825
161,244,26052
230,191,7217
192,230,15407
58,20,6190
66,234,19444
77,10,14584
229,57,8545
11,76,8516
238,72,11243
24,197,3353
44,31,6947
47,221,16668
217,41,4366
41,217,30415
11,176,4668
207,218,6135
224,50,19622
68,236,2937
162,6,9619
39,35,6878
236,181,4608
217,209,23909
238,176,25526
56,22,14398
240,78,8341
12,177,5328
182,236,4382
24,198,18674
4,155,14825
223,49,18014
7,84,6454
207,32,10115
185,16,23953
13,180,13179
183,235,4943
138,1,8640
125,1,8534
191,230,8647
37,37,6791
241,79,4163
23,55,3514
23,55,11764
44,30,4332
195,22,19674
205,221,27188
35,40,18376
238,176,19497
240,173,7428
26,200,4088
33,208,8419
70,236,2282
119,249,19205
41,217,14154
224,50,14412
241,79,11910
72,238,6239
220,45,10930
39,35,4370
31,206,12574
199,225,8111
185,234,13910
12,177,5840
78,240,5934
195,228,6180
236,181,31299
183,235,4205
238,176,5158
205,30,34284
246,97,2839
215,211,10537
1,124,7344
10,173,18866
244,162,50325
213,37,13087
190,231,12620
73,12,4713
219,206,4194
42,33,5131
243,85,7264
166,8,6702
204,29,3936
12,73,24201
177,12,4944
82,242,12908
243,85,27308
4,96,8005
41,216,17188
98,3,6635
50,26,12042
236,181,8765
192,20,4857
4,97,7092
223,201,13265
49,223,10318
83,8,6189
20,191,8701
4,98,3077
208,32,2950
202,28,10239
188,232,3296
23,54,5107
201,27,5613
27,48,11839
13,71,5595
227,196,13313
16,65,31336
233,63,35506
44,31,9624
28,202,10709
22,56,27452
42,217,10389
216,210,12105
29,46,11335
245,159,5901
223,49,5558
31,206,1565
76,239,10974
197,226,4315
56,229,5520
6,89,11428
100,247,10141
95,4,11521
212,214,7179
243,84,9213
83,8,11802
45,220,4037
167,8,17342
119,1,23508
193,21,6835
61,231,2960
194,22,8186
48,222,6153
24,198,11582
200,224,18690
237,179,5266
195,23,6678
231,60,3972
51,25,18244
19,60,6866
190,231,2428
45,30,9948
202,28,39027
13,179,16199
50,224,6994
207,218,14993
214,212,2832
48,28,4410
82,242,7518
57,229,24792
178,237,5219
23,54,5034
46,29,6845
52,226,11421
42,218,10227
202,28,22415
226,53,4592
68,236,8583
30,45,6384
191,20,17420
230,59,3457
154,246,7569
12,74,7699
207,31,7732
38,214,10788
227,54,6680
1,134,5762
239,76,3183
40,216,5813
75,11,5940
192,230,12840
229,193,9928
172,10,5750
77,240,5111
19,60,5785
20,191,7562
186,17,2540
41,217,13572
203,222,18009
3,99,5502
41,217,4268
98,246,15763
212,213,25464
78,10,4389
36,212,8305
247,103,12633
234,65,9351
4,95,7025
188,18,8537
3,99,7584
63,233,9831
164,7,12297
32,42,1762
240,172,12258
40,215,4921
15,182,7654
16,185,14495
193,229,19248
198,226,5054
39,35,9332
243,86,10447
172,240,16192
15,184,3963
239,176,6114
28,202,11787
26,49,12368
198,24,17694
54,227,6342
38,36,6629
7,163,6487
80,9,6303
219,207,17177
56,229,11615
9,79,14824
214,39,23046
72,13,5728
26,200,5967
166,8,2125
52,25,4217
243,87,7106
51,25,3675
16,66,2227
205,220,11345
61,232,17418
208,33,15091
22,55,7835
230,58,9084
202,27,18038
228,195,12996
81,9,22105
216,40,11349
235,183,15696
188,232,9671
205,30,2195
44,219,10490
153,246,5278
205,220,6280
220,205,3713
53,226,14839
212,37,10336
44,219,36619
233,186,7420
19,190,7151
24,53,7447
211,36,16375
204,29,9656
199,225,18576
199,25,6223
32,43,7937
19,60,4612
190,19,19762
32,43,9781
227,54,6431
14,69,9675
216,210,13154
24,198,3323
207,31,18456
68,235,4376
191,231,5823
194,22,5073
174,11,7077
187,17,4259
211,215,8972
51,25,10088
28,203,29984
23,196,4554
232,62,4293
240,173,21801
40,35,13262
42,32,8457
190,19,7482
237,179,5602
237,180,4028
60,231,8969
1,134,12259
51,225,9980
175,11,5916
146,248,5695
241,170,6590
32,208,3218
102,3,2757
231,190,7831
198,226,10349
245,92,6409
29,204,6039
179,13,9978
232,61,5390
221,46,7761
170,241,7882
30,205,6245
234,65,9732
199,25,13964
244,88,2378
7,87,6883
25,51,4002
1,135,4345
21,193,12792
27,48,2048
231,60,12291
65,234,17918
8,167,2479
194,229,2960
226,198,6076
6,160,5170
206,31,16728
235,183,6185
19,60,15914
72,238,11833
35,39,3519
68,15,11966
220,44,13873
199,225,8214
28,47,11491
29,46,6760
231,190,4836
91,5,3518
45,30,6238
19,190,10359
53,24,7746
230,192,10093
199,25,17868
164,7,10217
206,219,17242
11,176,6674
227,54,6919
33,209,5984
20,191,5349
134,249,13309
207,219,6643
14,70,9578
59,20,3151
33,42,8742
214,38,7192
248,145,4983
30,45,3001
11,175,7063
55,22,8052
13,71,3751
4,156,6789
239,174,5351
48,222,7555
201,27,6828
30,45,18024
215,211,4702
103,248,3557
188,232,2418
61,231,3754
229,193,11615
13,179,7063
19,59,1654
194,22,9574
216,40,4594
20,58,5992
15,183,6416
26,50,7275
210,216,5248
155,4,6642
232,62,7810
169,9,13412
205,220,5546
8,168,4121
45,220,5203
65,16,7046
67,235,5308
209,216,18092
194,22,3864
23,54,11821
244,160,7948
45,30,16921
39,215,15579
216,41,16170
233,187,5397
36,39,10636
80,241,13414
12,177,4456
212,36,13582
23,196,7544
10,78,9958
215,40,7693
50,26,3333
58,230,9222
222,203,2952
238,72,2867
103,2,4461
36,39,7036
49,26,4556
219,207,8968
39,214,3871
39,215,5955
212,213,5358
24,198,7700
241,79,2300
208,33,18708
207,218,9469
174,11,13595
218,207,9881
218,42,11537
202,223,15219
205,30,12948
226,52,4400
45,30,23170
12,176,2916
35,211,17427
218,43,2618
77,240,1786
81,9,8402
23,54,5920
7,165,7883
36,212,2422
