inicial_x,inicial_y,passos
61,65,20323
214,173,52631
131,56,13004
39,175,9402
200,70,8004
34,78,29267
26,167,13600
8,102,5461
172,61,10057
57,67,13802
111,56,10820
122,194,4689
82,190,13214
171,190,2145
117,194,4174
154,57,11984
29,81,11698
175,189,4684
49,180,34902
88,59,3593
67,64,1689
111,56,12072
153,57,32175
73,188,4546
145,56,14951
187,65,6357
30,169,9527
211,75,4171
180,187,10714
203,179,5488
122,194,4271
39,75,6351
151,193,7203
75,62,3557
29,169,9387
81,60,9159
203,71,6864
106,56,3513
169,190,9444
143,56,18214
188,185,23949
134,194,14080
72,62,17568
79,190,5585
157,192,7337
100,57,2209
106,56,5199
135,56,4340
80,190,7237
86,191,6898
27,82,15093
184,64,19756
230,88,1921
183,63,14035
96,58,7090
84,59,5818
4,110,9525
190,184,15789
143,194,1952
179,63,11307
91,192,1781
12,154,15532
74,62,17162
131,194,1355
141,194,16859
29,169,10575
215,77,20587
201,70,10838
93,192,29479
125,194,1374
24,85,7240
153,193,14112
219,171,4875
162,191,2615
72,188,6304
100,57,2698
211,75,5393
216,172,14866
211,175,7831
198,181,2886
239,97,16477
21,163,27340
230,88,19778
176,188,13079
50,180,4132
21,163,6297
234,91,8231
16,158,17041
158,58,9686
172,61,6379
118,56,2407
150,193,3001
95,58,2080
153,193,15642
43,177,6886
72,188,18476
143,56,3925
188,185,9431
86,191,6228
120,194,2899
221,169,22444
73,188,3420
50,180,11034
149,193,3322
112,194,3151
185,64,9114
160,192,7618
17,90,5747
165,191,19415
100,57,3390
148,57,2449
54,68,5759
133,56,2037
56,183,15491
155,192,4653
64,64,12847
204,72,27695
219,79,6514
48,70,5102
91,58,10401
174,61,28968
122,194,4073
43,177,11556
137,194,4969
148,193,13180
90,58,7433
38,76,3403
45,72,4804
30,169,10096
103,57,4494
169,60,2898
161,191,14871
149,57,917
37,76,14551
157,58,6961
174,61,11639
141,56,3498
85,59,8890
34,78,5801
114,194,4712
21,163,7785
183,64,8210
115,194,31725
190,184,10750
33,79,25607
239,152,20607
125,194,1392
2,116,9888
194,183,14789
198,181,12761
162,59,2667
183,64,1424
230,88,8026
20,162,9953
116,194,9866
55,182,3335
69,63,2327
201,180,10418
222,168,14701
161,191,1785
47,71,25053
178,188,3431
66,64,5986
104,193,16662
193,183,8676
14,156,5061
18,160,3962
138,56,3326
156,192,28455
189,66,18452
195,68,9958
86,59,1905
231,161,6452
55,182,1687
120,194,3827
91,58,1896
70,187,2900
203,179,31095
163,59,2727
108,194,1612
238,96,7283
110,56,4414
85,59,2924
55,182,17295
157,58,3533
34,78,9216
47,71,13044
116,194,6046
59,66,6502
20,88,5660
38,175,9020
247,112,6530
65,64,2263
157,58,3686
128,56,3613
116,194,2218
208,177,6741
11,153,8468
191,184,2944
84,59,12901
93,58,3540
145,194,13665
89,191,11287
142,56,23543
63,65,10669
20,162,12515
161,191,1238
73,62,5054
223,168,8381
21,87,6482
187,65,7466
16,158,3553
89,58,1757
123,56,1015
111,194,1933
113,56,3250
56,67,9442
85,59,8077
161,59,14084
170,60,3719
205,72,7185
42,177,23709
60,66,4868
73,62,3653
78,61,9987
177,188,10456
49,70,2712
133,194,2176
43,177,5660
222,168,4305
66,186,9077
140,194,9924
87,191,4774
196,68,3265
81,60,9991
207,177,9178
134,56,7191
35,77,7031
224,83,3445
102,57,8022
65,186,7499
117,194,8445
138,56,3154
182,63,1030
54,68,3824
159,58,4333
74,62,14013
148,193,3260
68,63,12084
137,194,3139
27,168,6304
152,57,2972
220,80,4115
81,190,3821
96,192,15003
158,58,7456
146,57,5866
144,56,3202
92,192,9300
89,191,1223
86,59,5865
191,184,14224
92,58,2579
136,56,2941
76,189,3602
219,170,9887
76,61,4329
134,56,6816
84,59,7855
110,194,15164
199,181,2773
68,63,1187
214,173,5257
87,59,2643
200,70,5863
49,180,4035
208,74,4844
85,191,1658
125,56,4145
196,68,25691
137,194,8044
160,58,4898
101,57,6239
45,178,2964
203,179,6158
105,56,35464
166,191,3056
83,60,1193
99,193,2014
201,180,5378
124,56,2452
152,57,4467
122,194,26140
61,184,8860
179,62,5042
191,184,9274
246,140,2765
48,179,4762
111,56,3504
178,62,8327
43,177,3178
89,59,2947
206,178,5324
44,178,35629
38,76,10172
238,96,18804
91,58,3001
125,56,1493
54,68,9680
203,179,15794
247,140,3237
134,194,1738
57,183,5713
142,194,5397
139,194,4970
129,56,10862
159,192,21044
163,191,10978
172,189,7465
107,194,8922
43,73,9584
189,184,7738
160,58,7022
57,183,3725
226,165,6876
242,102,6858
228,86,6359
87,191,3845
153,193,1942
191,66,1671
126,194,5332
75,62,15249
22,86,16275
85,59,3265
101,193,12519
79,60,15904
154,57,12026
48,71,4372
105,56,3136
136,56,4056
207,73,2462
199,181,2698
228,86,15964
56,183,8703
181,63,5937
159,192,14017
118,194,2511
120,194,4796
181,63,2380
235,93,13441
238,153,5271
70,187,6361
29,81,1868
64,185,2730
165,191,11790
78,189,1897
195,182,1708
160,58,4739
169,190,24992
189,66,2098
170,190,14884
42,73,3194
234,158,13923
166,190,3462
23,86,5802
143,194,9664
37,76,4915
127,194,9861
82,190,1185
168,60,11724
235,93,7142
108,194,3172
89,191,12500
172,61,6610
214,174,18642
70,63,3772
181,63,3059
144,56,7118
30,81,6021
180,63,8160
97,193,5579
84,60,1383
18,160,6194
117,194,2658
7,103,58833
59,66,13999
136,194,3826
177,62,12667
239,153,4113
117,194,15289
14,156,15825
75,188,3135
42,177,10304
227,164,2885
70,187,3685
55,68,11593
176,188,3986
143,56,3589
154,192,3141
129,56,14971
110,194,14185
132,194,950
80,60,6320
15,158,3514
165,59,12516
188,65,15985
19,88,1926
185,64,7368
116,194,955
125,56,397
111,194,7293
33,79,2778
135,56,5577
190,66,6394
35,173,15136
12,154,6221
166,190,29545
200,70,12488
237,96,3126
117,56,4685
158,192,4724
180,63,2878
168,190,1201
95,58,637
136,56,4898
88,191,1995
78,61,8103
154,57,22734
67,64,24218
191,66,3343
86,191,11477
205,72,5582
181,187,2190
65,64,5586
51,69,9466
93,58,27127
203,71,1699
213,76,12539
128,56,772
104,57,6567
224,83,2924
240,99,4460
38,175,6428
40,75,5289
103,193,557
180,63,1803
13,95,4147
162,191,8926
69,63,9549
234,158,9603
51,69,4923
63,65,3013
169,190,5962
167,190,2816
81,190,7379
126,56,31721
194,67,4357
136,56,2948
163,191,4489
124,56,774
219,80,5674
162,191,9725
214,173,4502
59,184,10474
130,194,1703
148,193,1123
176,188,8170
220,81,25455
175,61,1440
144,194,2028
95,58,10952
235,158,6867
14,156,8503
155,192,14942
164,191,3445
35,173,5147
164,59,6314
111,194,3281
37,174,7633
152,57,3599
244,106,7809
193,183,3669
78,61,11055
191,66,5257
203,179,18084
146,57,907
189,66,1308
54,68,5872
34,172,1578
134,56,2561
89,191,4009
76,189,11329
94,58,4302
179,188,1465
36,173,5249
118,56,3803
66,64,8324
151,57,2393
134,56,2341
162,191,7496
237,155,9959
238,154,4373
245,107,14883
70,187,11592
57,183,13214
130,194,21038
71,187,13743
82,190,5699
10,99,14271
32,171,14915
88,59,3094
16,92,6715
90,192,6994
232,90,4427
143,56,2704
239,97,4403
132,194,2200
66,64,16800
58,183,1724
99,57,2497
56,183,18320
214,173,6661
141,194,24217
153,57,5908
9,150,9167
206,178,14606
175,188,2190
144,194,1740
43,73,7342
115,56,951
125,56,2810
20,162,3771
105,194,17712
172,189,1377
163,59,1944
156,58,5095
160,58,2753
23,85,2140
72,188,11033
14,94,17752
149,193,2420
246,142,7365
36,174,4866
66,64,3729
36,77,23899
91,192,1682
131,194,2528
125,194,8141
89,59,6162
49,180,7057
28,82,6190
83,60,12373
156,58,9653
14,156,4666
129,194,3396
141,56,1886
114,56,1476
180,187,5894
224,167,1617
52,181,2495
128,56,2303
185,64,3876
196,182,3704
221,81,4142
192,183,3391
62,65,7026
194,68,4140
19,89,1432
65,64,5353
91,58,934
176,62,1721
218,79,6598
181,187,3575
35,77,7221
3,139,9173
208,177,5037
114,56,4006
126,56,3358
28,82,6281
185,186,1432
93,58,4965
200,70,8203
219,79,8940
179,187,1816
14,94,8766
6,145,10894
200,70,9072
90,58,4650
175,61,2424
55,68,2202
47,179,1290
188,185,12750
67,186,8853
153,57,1901
142,194,2604
57,67,6090
124,56,1019
119,194,8987
129,194,5918
125,194,1143
166,59,5785
140,194,3290
154,193,3049
92,192,3263
221,81,9848
139,56,3060
95,192,1917
114,56,5445
174,61,10213
105,194,5401
70,187,1432
56,67,1925
193,183,10212
98,57,7505
206,178,14355
221,81,8205
39,75,3404
131,194,1685
49,180,8138
225,84,4926
147,193,8212
203,71,3171
87,59,8261
153,193,2008
79,189,19275
174,61,3348
162,191,3515
18,90,4084
171,61,2062
111,194,1449
48,180,7863
111,194,2200
20,88,4928
38,75,5446
149,57,2512
94,58,5289
88,59,3357
95,192,711
69,187,2159
173,189,2034
180,63,6389
194,183,2434
217,172,12935
120,194,3385
241,100,8458
134,194,3701
145,194,2685
63,65,7502
77,189,3518
63,65,5365
243,146,19900
77,189,4435
207,177,12579
164,191,3197
192,183,11095
43,177,884
32,171,10902
172,189,8758
207,177,23692
125,194,11448
151,193,2181
134,194,2498
117,56,3155
85,59,6394
221,169,7194
71,62,1814
104,57,806
42,177,5183
220,169,4240
141,194,2837
125,56,537
117,56,1205
116,56,2841
89,59,4888
82,190,1251
191,184,1190
100,57,9253
231,161,4718
122,56,533
89,58,8020
106,194,3792
64,185,13316
84,60,6214
64,185,12219
193,183,6283
149,193,6234
185,64,10096
195,182,1733
147,193,10663
