i,j,energy
0,125,0
1,125,0
2,126,0
3,127,0
4,128,0
6,129,0
7,129,0
8,130,0
9,131,0
11,132,0
12,132,0
13,133,0
14,133,0
16,134,0
17,135,0
18,135,0
19,136,0
21,136,0
22,137,0
23,137,0
24,137,0
26,138,0
27,138,0
28,139,0
29,139,0
31,139,0
32,140,0
33,140,0
34,140,0
36,140,0
37,141,0
38,141,0
39,141,0
41,141,0
42,141,0
43,141,0
44,142,0
46,142,0
47,142,0
48,142,0
49,142,0
51,142,0
52,142,0
53,142,0
54,142,0
56,142,0
57,142,0
58,142,0
59,142,0
61,141,0
62,141,0
63,141,0
64,141,0
65,141,0
67,141,0
68,141,0
69,140,0
70,140,0
72,140,0
73,140,0
74,140,0
75,139,0
77,139,0
78,139,0
79,139,0
80,138,0
82,138,0
83,138,0
84,137,0
85,137,0
87,137,0
88,136,0
89,136,0
90,136,0
92,135,0
93,135,0
94,135,0
95,134,0
97,134,0
98,134,0
99,133,0
100,133,0
102,132,0
103,132,0
104,132,0
105,131,0
107,131,0
108,130,0
109,130,0
110,129,0
112,129,0
113,129,0
114,128,0
115,128,0
117,127,0
118,127,0
119,126,0
120,126,0
122,125,0
123,125,0
124,125,0
125,124,0
126,124,0
128,123,0
129,123,0
130,122,0
131,122,0
133,121,0
134,121,0
135,120,0
136,120,0
138,120,0
139,119,0
140,119,0
141,118,0
143,118,0
144,117,0
145,117,0
146,117,0
148,116,0
149,116,0
150,115,0
151,115,0
153,115,0
154,114,0
155,114,0
156,114,0
158,113,0
159,113,0
160,113,0
161,112,0
163,112,0
164,112,0
165,111,0
166,111,0
168,111,0
169,110,0
170,110,0
171,110,0
173,110,0
174,109,0
175,109,0
176,109,0
178,109,0
179,109,0
180,108,0
181,108,0
183,108,0
184,108,0
185,108,0
186,108,0
187,108,0
189,107,0
190,107,0
191,107,0
192,107,0
194,107,0
195,107,0
196,107,0
197,107,0
199,107,0
200,107,0
201,107,0
202,107,0
204,107,0
205,108,0
206,108,0
207,108,0
209,108,0
210,108,0
211,108,0
212,109,0
214,109,0
215,109,0
216,109,0
217,110,0
219,110,0
220,110,0
221,111,0
222,111,0
224,112,0
225,112,0
226,112,0
227,113,0
229,113,0
230,114,0
231,114,0
232,115,0
234,116,0
235,116,0
236,117,0
237,117,0
239,118,0
240,119,0
241,120,0
242,120,0
244,121,0
245,122,0
246,123,0
247,124,0
249,125,0
98,135,10576
221,112,2666
183,107,54973
204,106,16380
238,117,1662
43,140,25
120,125,9526
15,134,4757
182,107,24593
14,134,42605
24,138,24031
73,141,405
202,108,4119
159,112,60464
155,113,2024
31,138,9522
204,105,7208
43,139,2893
90,135,4307
114,127,24887
199,106,740
116,127,18657
158,112,20273
226,111,21408
248,125,13227
146,118,77
141,117,1921
216,110,29387
58,141,8205
203,107,307
19,137,2802
12,131,672
154,113,16439
97,133,671
49,143,1468
164,111,91431
125,125,577
191,106,12246
199,108,30296
113,130,7
240,120,12471
103,131,856
211,109,1647
54,143,38540
135,119,5438
249,126,16248
172,110,64252
209,107,1347
174,110,15705
14,132,85276
95,135,35723
128,124,1963
185,109,4625
178,108,15514
54,144,5407
246,124,1570
225,111,3783
222,112,48225
113,128,406
249,127,29509
182,106,5293
