inicial_x,inicial_y,passos
52,24,53935
59,230,5549
31,44,5144
237,180,6165
9,80,6630
68,15,29772
56,22,14343
202,27,10169
12,74,28271
49,27,9977
189,18,32047
66,16,10612
11,76,12420
223,49,24274
248,144,22410
14,69,17197
23,54,21544
52,226,12755
172,240,19005
177,238,6380
221,46,36888
218,42,9937
58,20,5737
72,12,12790
214,38,19339
22,55,11681
51,225,18908
234,66,5846
194,228,6967
33,41,10452
22,195,5084
248,104,28684
63,232,4124
11,174,7820
57,229,9100
218,208,13024
148,3,12427
52,226,19756
164,243,10133
191,19,5808
246,98,14807
31,43,17663
14,182,7301
42,217,4698
13,71,2097
2,108,8702
16,66,21931
8,82,6229
50,26,3492
204,221,9427
207,219,4644
21,194,32814
25,51,41472
51,225,12671
7,164,4162
167,8,9707
7,166,3811
12,176,15162
234,65,37261
167,8,7450
224,200,6827
204,221,3964
223,49,5145
54,23,11392
87,7,11640
56,228,9550
197,23,9730
42,32,5424
26,200,8410
27,48,6382
54,23,7091
218,207,12468
55,228,6582
230,192,14327
217,208,26713
6,88,5121
222,203,12211
195,228,15745
92,5,4119
204,29,8364
244,160,1948
68,15,7114
184,15,13650
9,169,10314
213,213,8958
167,242,7245
173,240,13243
231,60,11710
192,229,15342
49,223,9579
13,71,4536
202,222,16665
193,21,6679
234,64,5354
5,156,13861
40,216,11655
25,51,7293
23,53,19335
238,73,5373
47,29,7792
67,235,6271
245,159,4420
6,90,14005
32,208,16676
40,34,4005
20,191,36883
104,2,8716
132,1,10502
217,208,2999
218,43,11265
8,84,7981
203,222,47171
9,169,5547
232,62,12781
138,1,5354
66,235,5409
36,38,3968
71,13,4492
31,207,5895
25,199,11339
229,193,12241
218,207,8682
8,83,4073
223,201,5591
238,178,5161
23,196,8867
64,17,6804
159,245,16963
196,227,17729
53,226,4201
86,7,5571
218,43,4505
16,66,5752
192,20,8570
27,48,9674
184,16,12995
228,56,13450
5,159,5678
105,2,14072
31,206,9836
189,18,3908
8,167,8777
180,13,7227
189,19,11018
57,229,7086
227,54,23526
55,228,19730
59,231,6928
193,21,8509
217,209,13885
246,96,5517
247,148,6967
61,18,13171
3,99,2693
4,96,4227
226,53,25530
212,36,14736
3,101,12712
33,41,9680
208,32,8408
187,233,4639
221,47,22623
46,221,8315
13,178,10039
232,189,15133
237,72,8538
33,41,6593
203,222,31817
40,35,12470
9,81,58027
150,247,16496
1,125,3473
238,177,11257
99,3,6468
43,31,10603
96,4,5945
41,34,6626
202,27,5665
12,74,12606
230,58,4726
210,216,9762
205,220,7291
239,174,7672
222,203,10638
230,192,13454
236,180,5018
52,226,8961
14,181,8662
205,30,6254
69,236,8349
34,40,20930
242,168,9391
92,5,21926
22,194,16422
1,135,8360
192,20,11048
79,241,12121
29,203,13669
181,236,4831
167,242,10349
5,158,5116
224,49,6470
172,240,11585
238,74,4340
214,38,7427
97,246,4619
11,174,8192
82,8,5221
50,26,9508
179,237,9905
225,52,23429
68,235,10261
56,228,5673
6,160,17971
221,46,8002
50,224,15623
81,9,4182
197,226,8181
81,241,2711
28,203,16739
101,247,12234
181,14,6285
187,17,4015
50,224,8493
5,159,9391
202,28,10152
244,161,16578
173,240,23051
141,2,5781
216,209,7069
55,22,5975
18,188,18359
39,215,20515
101,3,3594
28,48,15243
193,229,4067
34,40,2461
64,233,3767
149,247,12211
67,15,16470
152,4,8467
216,40,5674
64,17,5932
52,24,24476
84,243,9444
194,228,2876
10,78,23233
192,20,5111
160,6,22129
28,47,5075
226,197,10731
9,80,8821
195,228,7054
227,54,8107
211,214,8719
28,47,8838
165,243,5960
25,51,4355
62,232,13283
63,17,7033
220,45,8679
193,229,12085
63,233,6148
49,27,17709
238,74,3938
184,16,3462
219,206,10756
15,67,2929
214,211,12016
29,204,14445
24,53,7009
26,49,4983
72,12,3668
167,8,22827
138,249,10517
62,232,9203
197,226,15874
61,231,14052
24,197,5730
35,39,5059
94,246,4208
18,62,9343
211,35,23693
19,190,33203
224,50,4861
60,231,4875
85,243,2130
87,7,8678
48,28,12249
27,202,4869
222,202,2437
93,5,8540
7,86,9948
70,13,13387
223,201,9345
226,52,7760
238,73,21148
102,3,4905
202,28,11678
133,1,4403
186,17,14327
58,230,13333
164,7,21214
49,223,5508
6,90,3877
90,244,10100
43,32,16178
9,169,3443
28,47,15989
170,241,1249
53,24,45600
207,32,7499
230,58,4104
228,195,6597
33,209,4174
10,78,9564
243,165,7296
198,226,7006
91,5,2003
166,242,6688
37,213,6556
72,237,8891
65,234,20488
66,15,14218
65,16,3486
201,27,14965
216,210,8424
146,248,8334
214,212,9635
209,34,10566
32,42,13691
206,31,6979
243,87,4890
1,121,19631
199,225,5023
31,207,26271
75,11,4500
233,63,17322
5,94,10981
22,55,9787
1,112,6424
59,20,8709
200,224,20581
14,181,13862
28,47,14701
189,231,7432
173,10,5962
149,3,4535
115,249,3158
64,233,4903
207,218,2227
242,83,12549
49,27,12781
43,218,8254
151,247,20617
217,42,6995
24,198,20601
37,212,12685
153,246,9139
41,217,9680
247,100,9563
27,201,4839
186,17,2552
194,228,8023
223,49,11265
65,16,7039
32,43,6854
238,177,10231
17,63,6011
228,194,16380
101,3,7094
204,29,6684
50,224,5016
27,49,11951
68,14,6761
154,246,5061
29,46,1574
222,202,17915
45,30,6004
60,19,2311
211,35,10804
81,9,3997
20,192,2778
86,7,5001
183,15,3590
11,76,7178
62,18,4269
158,5,9122
239,75,5734
5,156,7932
52,226,9194
241,169,5615
207,218,20386
245,93,22144
134,1,6063
220,205,18348
40,34,4207
16,185,4264
7,165,20312
220,45,5664
37,212,8791
42,32,9206
209,33,8556
20,192,8593
179,13,9623
34,210,10984
190,231,6676
140,249,2746
32,43,8054
42,218,17598
243,163,16073
205,220,16975
47,221,29378
223,201,8315
6,160,3451
13,178,20308
39,215,13836
247,150,8939
162,6,2372
178,237,2427
200,26,6678
185,234,3853
86,243,16264
44,31,4922
235,183,6264
33,209,3699
7,85,14851
38,36,3659
236,181,20707
42,33,2482
46,29,8179
230,191,10844
29,47,12271
217,209,14325
217,42,8076
94,4,2643
243,164,6486
173,10,35245
167,242,2207
67,235,7091
229,57,2636
50,26,18340
233,64,4353
50,224,1722
69,236,8852
228,56,9415
65,234,11358
16,185,4764
63,17,9015
57,21,3560
225,51,2278
15,183,8338
235,67,4982
69,14,8981
247,102,12979
167,8,8327
244,89,8450
229,193,15440
239,74,8169
239,174,5104
248,107,15377
62,18,4978
113,249,7797
30,205,15382
20,191,7149
5,93,4915
225,199,6366
37,212,17669
5,92,2238
41,216,3645
230,192,4304
241,81,8442
78,240,4464
9,169,20652
233,63,3475
43,219,3574
227,53,14618
25,51,7328
208,217,3645
61,18,3682
193,21,5757
187,17,5768
188,18,7652
214,38,12247
8,168,7486
209,33,3263
26,200,18010
1,125,13337
244,161,7565
188,232,4246
50,26,2023
49,223,2929
47,28,11156
213,37,3479
39,35,5665
214,38,10710
82,242,4294
64,233,4034
14,70,3941
2,108,5829
84,7,6081
23,197,11794
186,233,5982
75,11,18862
183,15,10996
208,218,14937
45,220,10048
244,87,5387
217,208,14397
203,28,7986
17,63,5222
178,237,10540
208,32,8436
172,10,2889
11,175,1863
249,131,11769
34,41,5486
181,236,9687
224,50,3683
24,197,32068
183,235,2754
231,189,14586
190,19,6156
73,12,5229
43,31,5839
226,52,10252
2,104,15323
194,21,3401
92,245,4098
191,230,5446
76,11,2510
179,13,4365
198,226,11494
114,1,3046
25,199,4768
226,52,9534
40,215,3729
56,22,8113
36,212,4286
201,27,5969
242,82,13244
150,247,5450
11,75,4177
213,37,16937
22,194,4716
220,45,4577
246,153,8249
56,228,8306
23,53,7262
71,237,5540
194,228,7335
28,203,5708
32,42,13378
33,208,13386
199,225,23720
24,197,5564
28,203,12675
217,208,6069
46,29,3016
180,236,2619
32,207,14771
240,78,7567
23,54,6342
17,187,8659
16,66,6416
80,241,5535
204,29,11140
234,184,3285
34,40,1964
198,24,20695
227,54,2700
223,202,3308
208,218,2729
36,212,6469
106,248,5579
210,35,6041
241,81,9043
239,75,11606
178,12,10251
233,64,16838
37,38,2899
135,1,2416
52,25,2524
47,222,6104
176,12,14118
44,31,9187
22,194,3506
17,187,9829
203,28,10515
6,90,5424
170,241,14242
63,233,4487
45,220,11735
4,98,11225
26,200,4657
26,200,5997
5,94,15403
21,193,10560
234,185,14518
33,42,2884
45,220,6112
202,222,8256
25,199,19934
109,2,20521
235,182,5428
20,59,10921
208,217,7291
194,228,16630
197,226,16129
70,14,14220
239,175,12749
19,59,6961
60,231,7274
2,105,5082
242,82,9252
20,191,6201
50,224,3991
69,14,5598
217,41,2783
7,86,4534
213,38,11907
37,213,5373
14,68,6602
13,72,5753
52,225,3964
225,199,3376
20,58,43529
2,145,9541
208,33,7662
32,207,4124
77,10,2690
237,179,23040
234,185,5787
42,32,4784
204,29,5125
50,26,3490
232,188,6027
150,3,3814
42,32,5099
174,239,21271
230,191,4358
14,181,11705
238,178,4372
232,189,11647
193,229,5290
27,49,6470
162,6,3401
202,223,5650
47,222,3095
1,116,4616
48,223,6583
196,227,16314
21,57,7673
203,222,9432
230,59,15714
210,216,10644
34,209,3276
16,64,12047
221,204,9567
206,31,4403
28,203,14805
232,188,9373
202,28,5064
195,227,2533
206,219,2043
23,196,3276
216,209,2248
198,24,5814
195,228,3932
207,219,12152
32,43,2886
221,204,8206
30,45,3731
152,4,2809
152,247,4861
58,229,5536
1,127,10746
230,58,3937
226,197,10209
76,239,5462
23,196,4825
16,66,2412
183,235,2324
231,190,16609
230,192,5959
36,211,16991
224,50,5162
212,214,14101
162,6,3280
202,27,5026
12,72,2510
48,27,4448
25,198,4112
74,12,3059
230,59,5849
180,14,19776
20,58,13935
72,12,2126
189,232,1923
51,25,5158
218,43,6121
34,209,5973
131,1,1621
196,227,2577
20,58,4679
213,37,10940
219,206,14780
213,212,7234
145,2,5669
35,39,6488
176,12,4927
188,18,1886
8,84,4702
45,220,8175
193,21,9390
247,148,3821
30,205,7003
